SCOUT,TEAM,COMP,SWITCH,SCALE,EXCHANGE,CLIMB,ELEVATOR,ARM,SHOOTER,INTAKE STYLE,CLIMB+PARTNER,DRIVEBASE,CLIMB POS,START POS,STANDARD,DRIVE FORWARD,NOTES
Taya, 6844, UTAH REGIONAL, YES, YES, YES, NO, NO, YES, NO, PASSIVE, 0, KIT, NONE, LEFT CENTER RIGHT, NONE, YES, drop center, 
Alex, 4944, UTAH REGIONAL, YES, NO, YES, NO, YES, NO, NO, ACTIVE, 0, TRACTION, NONE, LEFT CENTER RIGHT, NONE, YES, 3 auto routines, 
Alex, 2484, UTAH REGIONAL, YES, NO, YES, NO, YES, NO, NO, ACTIVE, 0, KIT, NONE, LEFT CENTER RIGHT, NONE, YES, 3 auto routines, 
Alex, 115, UTAH REGIONAL, YES, YES, YES, NO, YES, NO, NO, ACTIVE, 0, TRACTION, NONE, LEFT CENTER RIGHT, NONE, YES, only corresponding scale, 
Alex, 5871, UTAH REGIONAL, YES, YES, YES, YES, YES, NO, NO, ACTIVE, 0, KIT, TUBE BOX, LEFT CENTER RIGHT, NONE, YES, , 
Taya, 1891, UTAH REGIONAL, YES, YES, YES, YES, YES, NO, NO, ACTIVE, 1, NONE, WHOLE, LEFT RIGHT, NONE, YES, deploy auto, 
Taya, 3239, UTAH REGIONAL, YES, YES, YES, YES, YES, NO, NO, PASSIVE, 0, MECANUM, BOX, LEFT CENTER RIGHT, NONE, YES, no center auto scale, 
Taya, 2993, UTAH REGIONAL, YES, YES, YES, YES, NO, YES, NO, PASSIVE, 0, MECANUM, TUBE BOX, LEFT CENTER RIGHT, NONE, YES, little iffy with scale, 
Alex, 1339, UTAH REGIONAL, YES, YES, YES, YES, YES, NO, NO, ACTIVE, 2, OTHER, BOX, LEFT CENTER RIGHT, NONE, YES, omni pneumatic colson, 
Taya, 2996, PRACTICE, YES, YES, YES, YES, YES, YES, NO, ACTIVE, 0, KIT, TUBE BOX, LEFT RIGHT, NONE, YES, no c sw auto, 
Taya, 968, UTAH REGIONAL, YES, YES, YES, YES, YES, NO, NO, ACTIVE, 1, OTHER, BOX, RIGHT, NONE, NO, 2 omni 4 traction, 
Dani, 3166, COLORADO REGIONAL, YES, YES, YES, YES, YES, NO, NO, ACTIVE, 2, KIT, WHOLE, LEFT CENTER RIGHT, NONE, YES, untested everything, 
